Rectal cancer,Rectal bleeding/changes in bowel habits (persistent diarrhea or constipation)/unexplained weight loss/abdominal pain or cramping/feeling of incomplete evacuation/fatigue/narrow stools/mucus in stool.
Advanced gastric cancer,unintended weight loss/severe abdominal pain/persistent vomiting/difficulty swallowing/black tarry stools/vomiting blood/early satiety/fatigue/palpable abdominal mass
Gallbladder stone,Sudden and intensifying pain in the upper right abdomen / pain radiating to the back or shoulder / nausea or vomiting / jaundice (yellowing of skin or eyes) / clay-colored stools / fever or chills / indigestion or bloating after meals
Advanced gastric cancer,"Persistent abdominal pain/unexplained weight loss/vomiting blood/difficulty swallowing/feeling full quickly after eating/fatigue/black, tarry stools/loss of appetite/nausea/weakness."
Aortic aneurysm,Sudden severe chest or back pain / Pulsating sensation in the abdomen / Hypotension / Dizziness or fainting / Shortness of breath / Hoarseness / Clammy or sweaty skin / Rapid heart rate / Loss of consciousness
Gallbladder polyp,Right upper quadrant abdominal pain/nausea/vomiting/jaundice//bloating after fatty meals/indigestion/heartburn/radiating pain to back or shoulder/unexplained weight loss
Malignant neoplasm of breast left,Lump in the left breast/skin dimpling or puckering/nipple retraction or discharge/left breast pain/swelling in left armpit or collarbone area/redness or peeling of left breast skin/unusual left breast size change.
Nontuberculous mycobacterial infection,chronic cough / sputum production /
Gallbladder stone,right upper quadrant abdominal pain / nausea / vomiting / jaundice / clay-colored stools / dark urine / fever / chills / bloating after eating / pain radiating to back or shoulder / indigestion
Early gastric cancer,Mild upper abdominal discomfort/early satiety/unexplained weight loss/nausea that worsens after eating/occasional black stools/frequent indigestion unresponsive to medication
Gross hematuria,red/pink or brown-colored urine/blood clots in urine/flank pain/urinary urgency or frequency/dysuria (painful urination)/fever or chills/lower abdominal pain/dizziness or fatigue/recent trauma or injury
"Abnormal chest CT, lung nodule",persistent cough/hemoptysis/shortness of breath/fever/weight loss/fatigue/night sweats/wheezing
Gallbladder stone without obstruction,Right upper quadrant abdominal pain / postprandial discomfort (especially after fatty meals) / nausea or vomiting / bloating or indigestion / belching or gas / pain radiating to the back or shoulder / episodic pain lasting minutes to hours
Femoral hernia,Groin pain or discomfort/Visible bulge near the groin or upper thigh/Pain worsening with activity or standing/Bulge appearing when coughing or straining/Tenderness in the affected area/Nausea or vomiting if obstruction occurs
Hepatocellular carcinoma,"abdominal pain/weight loss/jaundice//ascites/fatigue/hepatomegaly/paraneoplastic phenomena (e.g., hypercalcemia)/nausea/loss of appetite/early satiety"
"Aneurysm, abdominal aorta",Severe abdominal pain/pulsating sensation near the navel/persistent back pain/dizziness/fainting/clammy skin/nausea/vomiting/rapid heart rate
Lung cancer right,persistent cough / coughing up blood / shortness of breath / unexplained weight loss / chest pain / fatigue / hoarseness
Hepatocellular carcinoma,jaundice/upper right abdominal pain/unintended weight loss/abdominal swelling/easy bruising or bleeding/fatigue/loss of appetite/nausea
Gallbladder stone without obstruction,Right upper quadrant abdominal pain after eating fatty foods / nausea / vomiting / bloating / indigestion / gas or belching / discomfort radiating to the back or shoulder / tenderness in the upper abdomen / diarrhea after meals / acid reflux-like sensations
"Tubulovillous adenoma, rectum",rectal bleeding / mucus in stool / changes in bowel habits (diarrhea or constipation) / abdominal pain / tenesmus / feeling of incomplete evacuation / anemia / narrow stools
Common bile duct cancer,Jaundice / itchy skin / upper abdominal pain // weight loss / clay-colored stools / dark urine / nausea / loss of appetite
Malignant neoplasm of rectosigmoid junction,rectal bleeding/change in bowel habits (diarrhea or constipation)/abdominal pain or cramping/unintended weight loss/fatigue/iron-deficiency anemia/tenesmus/narrow or pencil-shaped stools/loss of appetite
Papillary thyroid carcinoma,Neck lump or nodule/hoarseness/difficulty swallowing/swollen lymph nodes in the neck/pain in the front of the neck/difficulty breathing
Cholangitis,fever/chills/jaundice/right upper quadrant abdominal pain/hypotension/confusion/clay-colored stools/pruritus
Gastrointestinal stromal tumor of stomach,"Abdominal pain / gastrointestinal bleeding (vomiting blood or dark stools) / early satiety / nausea or vomiting / anemia (fatigue, weakness) / unintended weight loss / palpable abdominal mass"
