Disease,Symptoms,Institution,Source
Influenza (Flu),"Fever, cough, sore throat, runny/stuffy nose, muscle/body aches, headaches, fatigue",State of Michigan,https://www.michigan.gov/flu/basics
Common Cold,"Runny/stuffy nose, sore throat, cough, sneezing, body/head aches, low fever",Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/common-cold/symptoms-causes/syc-20351605
Viral Gastroenteritis (Stomach Flu),"Diarrhea, nausea, vomiting, stomach pain/cramps, low fever",Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/viral-gastroenteritis/symptoms-causes/syc-20378847
Coronavirus Disease 19 (COVID-19),"Dry cough, shortness of breath, fatigue, loss of taste/smell, pain (headaches, body/muscle pain), fever, congestion, runny nose, sore throat",Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/coronavirus/symptoms-causes/syc-20479963
Bronchitis,"Cough, mucus production (sputum), sore throat, mild head/body aches, slight fever, fatigue, chest pain, shortness of breath",Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/bronchitis/symptoms-causes/syc-20355566
Tuberculosis,"Long-term cough (lasting 3+ weeks), chest pain, coughing up blood/sputum, fatigue, weight loss, loss of appetite, chills, fever ",Center for Disease Control and Prevention (CDC),https://www.cdc.gov/tb/signs-symptoms/index.html
Ebola ,"Fever, muscle/joint pain, severe headache, fatigue, sore throat, bleeding, loss of appetite, nausea, vomiting, diarrhea, ",Center for Disease Control and Prevention (CDC),https://www.cdc.gov/ebola/signs-symptoms/index.html
Meningitis,"High fever, stiffness in neck, headache, nausea/vomiting, confusion, seizures, sleepiness, sensitivity to light, lack of appetite, skin rash",Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/meningitis/symptoms-causes/syc-20350508
Pneumonia,"Chest pain when breathing or coughing, confusion, cough (may produce sputum), fatigue, fever, low body temperature, nausea, vomiting, diarrhea, shortness of breath",Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/pneumonia/symptoms-causes/syc-20354204
Streptococcal Pharyngitis (Strep Throat),"Throat pain, pain when swallowing, swollen tonsils, red spots on roof of the mouth, swollen lymph nodes, fever, rash, nausea/vomiting, body aches",Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/strep-throat/symptoms-causes/syc-20350338
Heartburn,"Pain in the chest that worsens when lying down/bending over (typically after eating but also at night), bitter/acidic taste in mouth",Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/heartburn/symptoms-causes/syc-20373223
Tonsillitis,"Swelling of the tonsils, white/yellow coating/paches on tonsils, sore throat, difficult/painful swallowing, fever, bad breath, ",Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/tonsillitis/symptoms-causes/syc-20378479
Hypertension,"Severe headache, chest pain, dizziness, difficulty breathing, nausea, vomiting, blurred vision, anxiety, confusion, ringing in the ears (tinnitus), nosebleed, abnormal heart beat",World Health Organization (WHO),https://www.who.int/news-room/fact-sheets/detail/hypertension
Diabetes,"Feeling thirstier than usual, frequent urination, losing weight, ketones in urine, feeling of tiredness/weakness, irritable mood/mood changes, blurry vision, slow-healing sores, frequent infections",Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/diabetes/symptoms-causes/syc-20371444
Urinary Tract Infection (UTI),"Strong urge to urinate that never ceases, burining feeling when urinating, urinating often and passing small amounts at a time, cloudy urine, red/bright pink/cola-colored urine, strong smelling urine, pelvic pain (women)",Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/urinary-tract-infection/symptoms-causes/syc-20353447
Chickenpox,"Fever, loss of appetite, headache, tiredness, bumps that break out over a few days, fluid-filled blisters that break and leak, crusts and scabs",Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/chickenpox/symptoms-causes/syc-20351282
Syphillis,"Rash (not itchy, rough/red/reddish-brown, faint), sores in the mouth/genital area, hair loss, muscle ache, fever, sore throat, fatigue, weight loss, swelling in lymph nodes",Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/syphilis/symptoms-causes/syc-20351756
